Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09003_001,SE_A05001_001,SE_A05001_002,SE_A05001_003,SE_A05001_004,SE_A05001_005,SE_A05001_006,SE_A05001_007
"12001","Alachua County, Florida","ACSSF","fl","050","00","0000013",,,,,"12","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12001","Alachua County",,,,22,276171,211424,138938,72486,64747,7566,57181
"12003","Baker County, Florida","ACSSF","fl","050","00","0000014",,,,,"12","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12003","Baker County",,,,30,28003,16764,11615,5149,11239,729,10510
"12005","Bay County, Florida","ACSSF","fl","050","00","0000015",,,,,"12","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12005","Bay County",,,,24,181384,132811,90535,42276,48573,6459,42114
"12007","Bradford County, Florida","ACSSF","fl","050","00","0000016",,,,,"12","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12007","Bradford County",,,,31,27928,16979,11183,5796,10949,503,10446
"12009","Brevard County, Florida","ACSSF","fl","050","00","0000017",,,,,"12","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12009","Brevard County",,,,25,601573,446372,271604,174768,155201,18044,137157
"12011","Broward County, Florida","ACSSF","fl","050","00","0000018",,,,,"12","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12011","Broward County",,,,29,1934551,1656432,1261252,395180,278119,19607,258512
"12013","Calhoun County, Florida","ACSSF","fl","050","00","0000019",,,,,"12","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12013","Calhoun County",,,,30,13863,9169,6201,2968,4694,469,4225
"12015","Charlotte County, Florida","ACSSF","fl","050","00","0000020",,,,,"12","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County",,,,25,184837,149660,100574,49086,35177,4281,30896
"12017","Citrus County, Florida","ACSSF","fl","050","00","0000021",,,,,"12","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12017","Citrus County",,,,28,151888,122222,80864,41358,29666,4499,25167
"12019","Clay County, Florida","ACSSF","fl","050","00","0000022",,,,,"12","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12019","Clay County",,,,33,216308,139165,82342,56823,77143,6979,70164
